iter	Passed	Remaining
0	75	22607
1	146	21889
2	220	21829
3	304	22529
4	382	22538
5	465	22815
6	545	22823
7	628	22932
8	710	22971
9	796	23088
10	873	22962
11	943	22646
12	1017	22457
13	1088	22232
14	1154	21943
15	1230	21839
16	1305	21736
17	1392	21810
18	1460	21594
19	1529	21408
20	1610	21393
21	1699	21475
22	1783	21479
23	1871	21522
24	1950	21452
25	2019	21286
26	2086	21093
27	2163	21014
28	2260	21124
29	2359	21236
30	2453	21287
31	2539	21269
32	2621	21208
33	2698	21109
34	2770	20976
35	2839	20820
36	2909	20681
37	2974	20506
38	3048	20399
39	3126	20324
40	3213	20299
41	3305	20307
42	3391	20272
43	3476	20224
44	3553	20137
45	3622	20002
46	3690	19868
47	3762	19752
48	3842	19683
49	3927	19639
50	4007	19564
51	4096	19538
52	4173	19448
53	4244	19335
54	4312	19211
55	4383	19098
56	4450	18974
57	4524	18876
58	4603	18803
59	4696	18786
60	4783	18742
61	4863	18670
62	4944	18600
63	4976	18349
64	5049	18254
65	5135	18208
66	5201	18088
67	5274	17996
68	5345	17896
69	5418	17803
70	5488	17700
71	5555	17591
72	5627	17500
73	5704	17421
74	5777	17332
75	5846	17231
76	5864	16983
77	5932	16885
78	6009	16811
79	6085	16735
80	6154	16641
81	6234	16573
82	6317	16515
83	6392	16436
84	6463	16349
85	6540	16274
86	6626	16223
87	6712	16171
88	6797	16116
89	6884	16063
90	6970	16010
91	7056	15954
92	7132	15875
93	7201	15782
94	7276	15702
95	7344	15607
96	7410	15509
97	7490	15439
98	7579	15387
99	7666	15333
100	7757	15284
101	7838	15215
102	7911	15131
103	7979	15038
104	8048	14946
105	8117	14856
106	8192	14777
107	8273	14708
108	8358	14646
109	8441	14580
110	8517	14502
111	8605	14445
112	8687	14376
113	8757	14287
114	8827	14200
115	8895	14109
116	8964	14021
117	9032	13931
118	9110	13857
119	9191	13787
120	9279	13727
121	9362	13660
122	9449	13597
123	9537	13537
124	9629	13480
125	9703	13399
126	9771	13311
127	9842	13225
128	9913	13140
129	9983	13054
130	10048	12963
131	10123	12883
132	10189	12794
133	10257	12707
134	10330	12626
135	10403	12545
136	10479	12467
137	10547	12382
138	10616	12296
139	10682	12209
140	10763	12138
141	10844	12066
142	10930	12000
143	11018	11936
144	11103	11869
145	11197	11810
146	11283	11744
147	11366	11673
148	11442	11595
149	11513	11513
150	11580	11426
151	11648	11342
152	11717	11257
153	11785	11173
154	11860	11095
155	11952	11032
156	12043	10969
157	12133	10904
158	12218	10834
159	12304	10766
160	12378	10687
161	12448	10603
162	12520	10522
163	12587	10438
164	12654	10353
165	12720	10268
166	12789	10185
167	12857	10102
168	12933	10025
169	13016	9954
170	13100	9882
171	13183	9811
172	13266	9738
173	13356	9672
174	13444	9603
175	13526	9530
176	13606	9455
177	13696	9387
178	13781	9316
179	13879	9253
180	13984	9194
181	14096	9139
182	14194	9074
183	14293	9011
184	14315	8898
185	14391	8820
186	14463	8739
187	14534	8658
188	14604	8577
189	14671	8493
190	14737	8410
191	14805	8327
192	14873	8246
193	14947	8167
194	15018	8086
195	15087	8005
196	15154	7923
197	15219	7840
198	15289	7760
199	15353	7676
200	15421	7595
201	15489	7514
202	15559	7434
203	15624	7352
204	15690	7271
205	15755	7189
206	15826	7110
207	15893	7029
208	15969	6953
209	16065	6885
210	16148	6811
211	16223	6734
212	16304	6659
213	16385	6584
214	16456	6506
215	16527	6427
216	16597	6348
217	16663	6267
218	16733	6189
219	16803	6110
220	16870	6030
221	16940	5952
222	17008	5872
223	17077	5794
224	17144	5714
225	17211	5635
226	17279	5556
227	17345	5477
228	17412	5398
229	17481	5320
230	17552	5242
231	17620	5164
232	17691	5087
233	17757	5008
234	17824	4930
235	17908	4856
236	17987	4781
237	18055	4703
238	18127	4626
239	18196	4549
240	18268	4472
241	18342	4396
242	18421	4321
243	18497	4245
244	18565	4167
245	18635	4090
246	18704	4013
247	18768	3935
248	18839	3858
249	18907	3781
250	18980	3705
251	19059	3630
252	19140	3555
253	19212	3479
254	19284	3403
255	19352	3326
256	19422	3249
257	19492	3173
258	19562	3096
259	19629	3019
260	19699	2943
261	19770	2867
262	19839	2791
263	19908	2714
264	19977	2638
265	20044	2562
266	20114	2486
267	20179	2409
268	20248	2333
269	20320	2257
270	20390	2182
271	20462	2106
272	20533	2030
273	20599	1954
274	20668	1878
275	20737	1803
276	20807	1727
277	20882	1652
278	20954	1577
279	21022	1501
280	21096	1426
281	21170	1351
282	21259	1277
283	21343	1202
284	21428	1127
285	21505	1052
286	21576	977
287	21643	901
288	21712	826
289	21782	751
290	21847	675
291	21916	600
292	21982	525
293	22049	449
294	22119	374
295	22191	299
296	22259	224
297	22326	149
298	22393	74
299	22461	0
